Sample index	Multipacting max (uA)	Pressure max (mBar)	P transmise moy (W)	NI9205_E1	NI9205_E2	NI9205_E3	NI9205_E4	NI9205_E5	NI9205_E6	NI9205_E7	NI9205_MP1l	NI9205_MP2l	NI9205_MP3l	NI9205_MP4l	NI9205_MP5l	NI9205_MP6l	NI9205_MP7l	NI9205_Power1	NI9205_Power2	NI9205_Arc1	NI9205_Penning1	NI9205_Penning2	NI9205_Penning	NI9205_MP8l	T1	T2	T3	T4
1104	8.486	0.0000002226	76.88	57.74	0.06968	0.09584	0.09854	0.07236	0.05425	0.01956	8.486	8.157	7.501	8.814	36.06	8.486	8.814	141.3	62.27	0.858	0.0000002226	0.000000298	0.004761	8.018	1413.08	1413.08	1413.08	1413.08
1105	11.44	0.0000002203	77.99	58.41	0.07046	0.09679	0.09984	0.07364	0.05475	0.01989	11.44	10.78	10.78	12.1	40.33	11.44	10.46	143.3	63.59	0.8803	0.0000002203	0.0000002882	0.004761	8.51	1413.08	1413.08	1413.08	1413.08
1106	9.47	0.0000002209	80.26	58.99	0.07111	0.0978	0.101	0.07434	0.0554	0.02005	9.47	8.486	8.157	9.799	37.7	9.47	9.799	146.9	65.23	0.8593	0.0000002209	0.0000002846	0.004761	7.854	1413.08	1413.08	1413.08	1413.08
1107	10.78	0.000000222	82.48	59.63	0.07182	0.09897	0.102	0.07479	0.0558	0.02022	10.78	10.46	11.11	13.08	43.61	12.42	11.11	149.8	65.88	0.9122	0.000000222	0.000000286	0.004761	8.838	1413.08	1413.08	1413.08	1413.08
1108	10.13	0.000000223	83.6	60.3	0.07248	0.1002	0.1029	0.07554	0.06102	0.02046	10.13	8.486	7.829	9.47	38.36	9.142	10.13	152.8	67.52	0.9168	0.000000223	0.0000002863	0.004761	8.018	1413.08	1413.08	1413.08	1413.08
1109	9.142	0.0000002231	85.66	60.85	0.07343	0.1007	0.1039	0.07629	0.05676	0.02059	9.142	7.829	7.829	9.142	38.69	9.47	10.46	155.4	68.83	0.8928	0.0000002231	0.0000002857	0.004761	7.854	1413.08	1413.08	1413.08	1413.08
1110	9.47	0.0000002235	86.44	61.51	0.07396	0.1018	0.105	0.07711	0.05733	0.02084	9.47	8.157	7.829	9.47	38.36	9.799	10.13	158	70.14	0.9066	0.0000002235	0.0000002861	0.004761	7.854	1413.08	1413.08	1413.08	1413.08
1111	11.11	0.0000002232	88.5	62.44	0.07506	0.1031	0.1063	0.07816	0.0582	0.02112	11.11	10.78	10.13	11.77	40.33	13.08	10.46	161.6	71.46	0.8977	0.0000002232	0.0000002863	0.004761	8.674	1413.08	1413.08	1413.08	1413.08
1112	11.11	0.0000002224	90.65	63.02	0.07575	0.1041	0.1072	0.07907	0.05857	0.02135	11.11	10.13	9.47	11.11	36.39	10.78	9.799	165.2	72.77	0.8954	0.0000002224	0.0000002854	0.004761	8.182	1413.08	1413.08	1413.08	1413.08
1113	10.78	0.0000002218	92.74	63.57	0.07647	0.1052	0.1085	0.07976	0.05895	0.02159	10.78	10.13	9.47	11.77	38.69	13.74	11.11	168.2	74.08	0.9138	0.0000002218	0.0000002841	0.004761	8.674	1413.08	1413.08	1413.08	1413.08
1114	11.77	0.0000002197	94.38	64.38	0.07742	0.1061	0.1097	0.08081	0.05961	0.02188	11.77	10.13	8.814	9.799	35.73	11.77	10.13	171.5	75.39	0.9102	0.0000002197	0.0000002823	0.004761	8.838	1413.08	1413.08	1413.08	1413.08
1115	11.77	0.0000002177	96.75	64.97	0.07801	0.107	0.1105	0.08146	0.06015	0.02206	11.77	10.78	10.13	11.44	36.06	14.07	10.13	175.7	77.36	0.8968	0.0000002177	0.0000002802	0.004761	8.674	1413.08	1413.08	1413.08	1413.08
1116	11.44	0.0000002154	98.72	65.62	0.07872	0.108	0.1115	0.08247	0.06051	0.02232	11.44	10.78	10.13	12.1	34.42	14.39	10.78	178.4	78.34	0.906	0.0000002154	0.0000002781	0.004761	8.51	1413.08	1413.08	1413.08	1413.08
1117	9.142	0.0000002244	99.82	68.15	0.08085	0.1105	0.1143	0.08459	0.06175	0.02329	9.142	8.157	7.829	9.47	30.81	13.41	10.46	181.6	79.98	0.8961	0.0000002244	0.000000286	0.004761	7.854	1413.08	1413.08	1413.08	1413.08
1118	10.78	0.0000002194	102.3	69.16	0.08182	0.1121	0.1162	0.08571	0.06247	0.02361	10.78	10.13	9.799	11.11	30.81	15.05	9.142	189.2	83.26	0.9329	0.0000002194	0.0000002814	0.004761	8.018	1413.08	1413.08	1413.08	1413.08
1119	8.157	0.000000216	106	69.85	0.08247	0.113	0.1167	0.08657	0.06307	0.02381	8.157	7.829	7.829	9.142	31.14	17.68	11.11	194.4	85.23	0.9368	0.000000216	0.0000002776	0.004761	8.674	1413.08	1413.08	1413.08	1413.08
1120	9.799	0.0000002105	108.7	70.83	0.08343	0.114	0.118	0.08771	0.06372	0.02412	9.799	8.486	8.486	9.799	25.23	15.38	9.47	198	86.87	0.9335	0.0000002105	0.0000002721	0.004761	7.854	1413.08	1413.08	1413.08	1413.08
1121	9.799	0.0000002046	110.8	71.42	0.0854	0.1152	0.1193	0.08876	0.06433	0.02441	9.799	8.814	8.814	10.13	27.52	18.33	10.78	201.6	88.51	0.8925	0.0000002046	0.0000002672	0.004761	9.495	1413.08	1413.08	1413.08	1413.08
1122	11.11	0.0000001969	113	72.68	0.08581	0.1165	0.1209	0.08997	0.06516	0.02479	11.11	10.46	10.13	11.77	24.57	19.32	11.44	205.9	90.48	0.904	0.0000001969	0.0000002591	0.004761	8.674	1413.08	1413.08	1413.08	1413.08
1123	8.814	0.0000001901	116	73.64	0.0866	0.1181	0.1221	0.09105	0.06578	0.02512	8.814	9.799	9.47	10.78	19.32	17.35	10.78	211.2	92.77	0.9536	0.0000001901	0.0000002529	0.004761	8.674	1413.08	1413.08	1413.08	1413.08
1124	8.486	0.0000001845	118.2	74.43	0.08754	0.119	0.1232	0.09229	0.06654	0.0254	8.486	8.157	7.829	9.142	17.35	17.02	8.486	215.4	95.07	0.9591	0.0000001845	0.000000246	0.004761	8.018	1413.08	1413.08	1413.08	1413.08
1125	10.13	0.0000001782	120.5	75.5	0.08869	0.1203	0.1245	0.0931	0.06737	0.02575	10.13	8.157	8.157	9.142	15.71	17.35	10.78	220.3	96.38	0.9276	0.0000001782	0.0000002402	0.004761	7.854	1413.08	1413.08	1413.08	1413.08
1126	9.47	0.0000001726	123.8	76.53	0.08961	0.1216	0.126	0.09436	0.0679	0.02603	9.47	8.157	7.829	9.47	14.39	18.33	10.13	224.6	99	0.8485	0.0000001726	0.0000002345	0.004761	8.018	1413.08	1413.08	1413.08	1413.08
1127	9.799	0.0000001686	125.9	77.3	0.09036	0.1226	0.1268	0.09527	0.06858	0.02629	9.799	8.486	8.157	9.799	13.74	18.66	10.46	229.2	101	0.8623	0.0000001686	0.0000002297	0.004761	9.003	1413.08	1413.08	1413.08	1413.08
1128	8.157	0.0000001643	128.5	78.29	0.09123	0.1234	0.128	0.09591	0.06938	0.02654	8.157	7.501	7.501	8.814	12.75	18.33	9.142	232.8	102.3	0.8675	0.0000001643	0.0000002254	0.004761	7.854	1413.08	1413.08	1413.08	1413.08
1129	10.78	0.0000001603	130.6	78.88	0.09218	0.1246	0.129	0.09699	0.06985	0.02684	10.78	10.13	10.13	11.11	13.74	20.63	11.11	236.4	103.9	0.8728	0.0000001603	0.0000002215	0.004761	9.003	1413.08	1413.08	1413.08	1413.08
1130	9.47	0.000000156	132.9	79.98	0.0931	0.1259	0.1302	0.09807	0.07077	0.02719	9.47	9.142	8.814	10.46	11.77	20.63	11.11	241	105.9	0.9046	0.000000156	0.0000002168	0.004761	8.674	1413.08	1413.08	1413.08	1413.08
1131	9.47	0.000000153	135.3	80.69	0.09403	0.1266	0.131	0.09913	0.07131	0.02744	9.47	8.157	8.486	9.799	10.46	18.99	9.47	246.6	108.2	0.8987	0.000000153	0.000000213	0.004761	7.69	1413.08	1413.08	1413.08	1413.08
1132	8.157	0.0000001495	138.1	82.01	0.09504	0.1281	0.1326	0.09992	0.07222	0.02785	8.157	7.501	7.501	8.814	9.799	19.65	11.11	250.5	110.2	0.9214	0.0000001495	0.00000021	0.004761	8.182	1413.08	1413.08	1413.08	1413.08
1133	10.78	0.000000146	139.6	83.09	0.09595	0.1288	0.1339	0.1011	0.07291	0.02821	10.78	9.47	9.142	10.46	10.78	19.97	10.46	255.1	112.4	0.905	0.000000146	0.0000002066	0.004761	8.018	1413.08	1413.08	1413.08	1413.08
1134	8.157	0.000000144	142.8	83.89	0.09695	0.1302	0.1348	0.1021	0.07367	0.02844	8.157	7.173	7.173	8.814	9.47	19.97	9.142	260	114.1	0.9014	0.000000144	0.0000002044	0.004761	8.182	1413.08	1413.08	1413.08	1413.08
1135	12.1	0.0000001418	145.5	84.9	0.09772	0.1309	0.136	0.1033	0.07426	0.02878	12.1	10.46	9.799	12.1	11.44	21.94	9.47	264.6	116.1	0.884	0.0000001418	0.0000002023	0.004761	8.182	1413.08	1413.08	1413.08	1413.08
1136	8.157	0.0000001402	147.9	85.81	0.0987	0.132	0.1369	0.1039	0.07512	0.02911	8.157	7.501	7.173	9.142	8.814	19.65	8.814	269.9	118.7	0.924	0.0000001402	0.0000001999	0.004761	8.018	1413.08	1413.08	1413.08	1413.08
1137	8.814	0.0000001474	151.4	89.11	0.1008	0.1341	0.1392	0.1061	0.07644	0.03031	8.814	8.157	7.829	9.142	9.142	22.6	9.142	274.8	120.3	0.9014	0.0000001474	0.0000002077	0.004761	7.69	1413.08	1413.08	1413.08	1413.08
1138	12.1	0.0000001467	156.5	90.29	0.1016	0.1356	0.1405	0.107	0.07736	0.03072	12.1	11.11	10.46	12.42	11.44	26.21	10.46	286.9	124.6	0.9053	0.0000001467	0.0000002071	0.004761	8.346	1413.08	1413.08	1413.08	1413.08
1139	9.47	0.0000001463	161.5	91.7	0.1027	0.1366	0.142	0.1083	0.07829	0.03111	9.47	8.486	8.157	10.13	11.44	29.17	13.74	290.2	127.2	0.9122	0.0000001463	0.0000002062	0.004761	7.854	1413.08	1413.08	1413.08	1413.08
1140	9.47	0.0000001462	164	92.8	0.1038	0.138	0.1433	0.1094	0.07907	0.03165	9.47	9.142	9.142	10.78	9.47	24.57	11.44	296.4	128.8	0.8941	0.0000001462	0.0000002064	0.004761	9.003	1413.08	1413.08	1413.08	1413.08
1141	10.78	0.0000001463	166.2	94.17	0.1048	0.1392	0.1446	0.1104	0.07989	0.03209	10.78	8.486	8.157	10.13	9.142	24.57	10.46	302.6	131.8	0.9	0.0000001463	0.0000002064	0.004761	8.674	1413.08	1413.08	1413.08	1413.08
1142	9.142	0.0000001459	170.9	95.34	0.1058	0.1405	0.1461	0.1117	0.08081	0.03255	9.142	8.157	7.829	9.142	8.486	24.24	8.486	307.9	134.7	0.9381	0.0000001459	0.0000002063	0.004761	7.854	1413.08	1413.08	1413.08	1413.08
1143	11.77	0.0000001471	173.6	96.91	0.1066	0.1419	0.147	0.1125	0.08169	0.03298	11.77	10.78	10.78	11.77	11.11	26.21	11.44	314.1	136.4	0.8981	0.0000001471	0.0000002065	0.004761	8.674	1413.08	1413.08	1413.08	1413.08
1144	8.157	0.0000001474	177.6	98.23	0.1078	0.1437	0.1489	0.1136	0.08237	0.03351	8.157	7.829	7.173	8.814	8.486	27.85	12.75	320.7	139.3	0.8767	0.0000001474	0.0000002073	0.004761	8.182	1413.08	1413.08	1413.08	1413.08
1145	10.78	0.0000001488	179.5	99.76	0.1088	0.1447	0.1499	0.1147	0.08336	0.03412	10.78	8.814	8.486	10.46	8.814	25.56	10.46	325.6	142	0.88	0.0000001488	0.0000002091	0.004761	8.838	1413.08	1413.08	1413.08	1413.08
1146	8.814	0.0000001495	184.6	101	0.1095	0.1456	0.1509	0.1157	0.08412	0.03457	8.814	8.157	7.829	9.142	8.486	26.54	8.814	332.2	144.9	0.9234	0.0000001495	0.0000002097	0.004761	7.854	1413.08	1413.08	1413.08	1413.08
1147	10.46	0.0000001512	187.5	102.5	0.1103	0.1471	0.1524	0.1166	0.0848	0.03511	10.46	9.142	8.814	10.13	9.799	25.56	10.46	335.8	146.2	0.8659	0.0000001512	0.0000002103	0.004761	7.854	1413.08	1413.08	1413.08	1413.08
1148	11.44	0.0000001524	190.3	103.8	0.1109	0.148	0.154	0.1173	0.08557	0.03551	11.44	9.799	8.814	10.13	9.142	26.54	10.13	341.7	148.2	0.9004	0.0000001524	0.0000002121	0.004761	8.674	1413.08	1413.08	1413.08	1413.08
