Sample index	Multipacting max (uA)	Pressure max (mBar)	P transmise moy (W)	NI9205_E1	NI9205_E2	NI9205_E3	NI9205_E4	NI9205_E5	NI9205_E6	NI9205_E7	NI9205_MP1l	NI9205_MP2l	NI9205_MP3l	NI9205_MP4l	NI9205_MP5l	NI9205_MP6l	NI9205_MP7l	NI9205_Power1	NI9205_Power2	NI9205_Arc1	NI9205_Penning1	NI9205_Penning2	NI9205_Penning	NI9205_MP8l	T1	T2	T3	T4
539	8.814	0.00000008072	608.9	292.9	0.1259	0.1332	0.1239	0.1107	0.1137	0.1142	8.814	7.829	8.157	9.47	8.486	7.829	9.799	617.8	7.182	0.9614	0.00000008072	0.0000001579	0.004761	8.346	1413.09	1413.09	1413.09	1413.09
540	8.814	0.00000008059	598.9	290.8	0.1252	0.1326	0.1233	0.1105	0.1129	0.1137	8.814	7.829	7.829	8.814	8.157	7.501	9.142	611.6	7.182	0.9352	0.00000008059	0.0000001576	0.004761	8.346	1413.09	1413.09	1413.09	1413.09
541	9.142	0.0000000805	592.4	288.5	0.1242	0.1316	0.1219	0.109	0.1116	0.1124	9.142	7.829	7.829	9.47	8.157	7.501	8.814	600.7	7.51	0.9378	0.0000000805	0.0000001572	0.004761	8.018	1413.09	1413.09	1413.09	1413.09
542	10.13	0.00000008059	583.4	283.8	0.1227	0.13	0.1204	0.1078	0.1104	0.1111	10.13	9.47	8.814	10.46	8.486	8.814	10.46	598.4	7.182	0.9755	0.00000008059	0.0000001576	0.004761	8.838	1413.09	1413.09	1413.09	1413.09
543	10.78	0.00000008024	557.9	282.1	0.1216	0.1294	0.1197	0.1072	0.1099	0.1103	10.78	9.799	9.142	10.78	9.799	8.814	9.799	571.2	6.854	0.8928	0.00000008024	0.000000157	0.004761	8.182	1413.09	1413.09	1413.09	1413.09
544	9.142	0.00000008033	553.5	280.7	0.1207	0.1289	0.1187	0.1064	0.109	0.1095	9.142	8.486	8.486	9.799	8.814	8.814	10.78	563	6.854	0.9063	0.00000008033	0.0000001566	0.004761	8.674	1413.09	1413.09	1413.09	1413.09
545	11.11	0.00000008015	557.2	278.1	0.1201	0.1282	0.1181	0.1055	0.1084	0.1088	11.11	10.13	10.13	11.44	10.46	10.46	11.11	565	6.854	0.9325	0.00000008015	0.0000001566	0.004761	8.51	1413.09	1413.09	1413.09	1413.09
546	8.814	0.00000008007	542.8	276.1	0.1195	0.1274	0.1171	0.1048	0.1073	0.108	8.814	7.501	7.501	9.142	8.486	8.486	9.799	564.7	6.854	0.8964	0.00000008007	0.000000156	0.004761	8.674	1413.09	1413.09	1413.09	1413.09
547	9.47	0.00000007994	527.7	274	0.1184	0.1262	0.1163	0.104	0.1067	0.1071	9.47	8.486	8.814	10.13	8.814	8.157	10.78	536.5	6.526	0.8971	0.00000007994	0.0000001559	0.004761	8.674	1413.09	1413.09	1413.09	1413.09
548	10.46	0.00000007994	519.6	272.4	0.1177	0.1255	0.1157	0.1034	0.1056	0.1064	10.46	9.142	9.142	10.46	8.814	8.814	10.78	530.2	6.526	0.9421	0.00000007994	0.0000001557	0.004761	8.674	1413.09	1413.09	1413.09	1413.09
549	10.78	0.00000007985	513	269.6	0.1166	0.1246	0.1146	0.1024	0.1049	0.1054	10.78	9.47	9.47	11.11	9.799	10.13	10.78	521.7	6.854	0.9227	0.00000007985	0.0000001552	0.004761	8.838	1413.09	1413.09	1413.09	1413.09
550	10.46	0.00000007972	504.8	267.8	0.1161	0.1239	0.1139	0.1016	0.1044	0.1047	10.46	9.142	9.47	10.78	9.47	9.47	11.11	516.1	6.526	0.8938	0.00000007972	0.000000155	0.004761	8.838	1413.09	1413.09	1413.09	1413.09
551	10.13	0.00000007964	498.9	265.6	0.1152	0.1232	0.113	0.1009	0.1036	0.1041	10.13	9.142	9.142	10.78	9.799	8.814	10.46	507.6	6.526	0.9191	0.00000007964	0.0000001551	0.004761	8.674	1413.09	1413.09	1413.09	1413.09
552	9.142	0.00000007946	493.3	263.5	0.1142	0.1223	0.1122	0.1003	0.1028	0.1032	9.142	7.829	7.501	8.814	8.157	7.829	8.814	502	6.854	0.9657	0.00000007946	0.0000001545	0.004761	8.182	1413.09	1413.09	1413.09	1413.09
553	8.486	0.00000007942	486.4	262	0.1134	0.1212	0.1115	0.09941	0.1018	0.1025	8.486	7.829	7.501	9.47	8.486	8.486	10.46	495.5	6.198	0.8964	0.00000007942	0.0000001546	0.004761	8.51	1413.09	1413.09	1413.09	1413.09
554	8.486	0.00000007912	478.9	259.7	0.1124	0.1205	0.1107	0.09881	0.1014	0.1015	8.486	7.173	7.173	8.814	8.157	7.829	8.814	487.9	6.526	0.9834	0.00000007912	0.000000154	0.004761	8.182	1413.09	1413.09	1413.09	1413.09
555	10.46	0.00000007925	475.9	257.3	0.1115	0.1196	0.1097	0.09772	0.1004	0.1005	10.46	9.799	9.47	11.11	9.799	9.47	10.46	484.3	6.198	0.9375	0.00000007925	0.000000154	0.004761	8.838	1413.09	1413.09	1413.09	1413.09
